Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
350,Darell Hernaiz,23,ATH,AL,-0.4,51,197,173,17,40,5,1,2,16,3,4,17,24,0.231,0.292,0.306,0.599,66,0.273,66,53,2,0,2,5,0,654,
351,Gio Urshela,33,ATH,AL,-1.1,59,197,181,10,43,14,1,0,20,0,1,13,40,0.238,0.287,0.326,0.613,69,0.271,61,59,6,0,2,1,0,5/3DH,
352,David Hamilton*,27,BOS,AL,1,91,194,177,27,35,4,1,6,19,22,6,13,47,0.198,0.257,0.333,0.59,65,0.274,63,59,3,1,3,0,0,4H6/D5,
353,Luisangel Acuña,23,NYM,NL,0.5,95,193,175,30,41,7,0,0,8,16,1,13,37,0.234,0.293,0.274,0.567,63,0.273,58,48,6,2,2,1,0,4H/658,
354,Andy Ibáñez,32,DET,AL,0.7,91,193,176,24,42,8,0,4,21,4,1,12,26,0.239,0.301,0.352,0.653,81,0.292,81,62,6,4,0,1,0,5H4/3D67,
355,Christian Koss,27,SFG,NL,1.8,74,191,174,25,46,9,0,3,23,4,1,9,45,0.264,0.309,0.368,0.676,94,0.317,103,64,4,3,3,2,0,4H5/61D,
356,Justin Turner,40,CHC,NL,-0.1,80,191,169,14,37,7,0,3,18,2,0,17,37,0.219,0.288,0.314,0.602,74,0.282,81,53,3,1,0,4,0,3HD5,
357,Amed Rosario,29,2TM,2LG,0.3,62,191,181,20,50,11,0,6,23,1,0,7,31,0.276,0.309,0.436,0.745,108,0.328,108,79,6,2,0,1,0,54H/9D16,
357,Amed Rosario,29,WSN,NL,0.3,46,158,148,19,40,8,0,5,18,1,0,7,22,0.27,0.31,0.426,0.736,106,0.326,107,63,5,2,0,1,0,54H/D169,
357,Amed Rosario,29,NYY,AL,0,16,33,33,1,10,3,0,1,5,0,0,0,9,0.303,0.303,0.485,0.788,114,0.335,114,16,1,0,0,0,0,/59H4,
358,Ha-Seong Kim,29,2TM,2LG,0.3,48,191,171,19,40,4,0,5,17,6,2,16,39,0.234,0.304,0.345,0.649,83,0.29,81,59,2,2,0,2,0,6/4H,
