Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
257,Huascar Brazobán,35,NYM,NL,0.7,5,2,0.714,3.57,52,3,6,0,0,2,63,51,29,25,6,27,1,57,4,0,2,262,115,4.04,1.238,7.3,0.9,3.9,8.1,2.11,
258,Brant Hurter*,26,DET,AL,0.7,4,3,0.571,2.43,43,4,5,0,0,2,63,57,26,17,4,27,3,68,11,0,2,277,171,3.61,1.333,8.1,0.6,3.9,9.7,2.52,
259,Tommy Kahnle,35,DET,AL,-0.2,1,5,0.167,4.43,66,0,16,0,0,9,63,51,32,31,8,31,0,50,1,0,3,267,94,4.72,1.302,7.3,1.1,4.4,7.1,1.61,
260,Seranthony Domínguez,30,2TM,AL,0.5,4,4,0.5,3.16,67,0,15,0,0,2,62.2,44,30,22,5,36,2,79,2,0,12,261,132,3.47,1.277,6.3,0.7,5.2,11.3,2.19,
260,Seranthony Domínguez,30,BAL,AL,0.5,2,3,0.4,3.24,43,0,11,0,0,2,41.2,32,19,15,4,24,1,54,0,0,9,175,125,3.52,1.344,6.9,0.9,5.2,11.7,2.25,
260,Seranthony Domínguez,30,TOR,AL,0,2,1,0.667,3,24,0,4,0,0,0,21,12,11,7,1,12,1,25,2,0,3,86,147,3.37,1.143,5.1,0.4,5.1,10.7,2.08,
261,Yoendrys Gómez,25,3TM,2LG,0,3,3,0.5,5.17,21,9,8,0,0,1,62.2,60,40,36,12,27,0,58,4,0,2,277,82,5.26,1.388,8.6,1.7,3.9,8.3,2.15,
261,Yoendrys Gómez,25,2TM,AL,0.3,3,3,0.5,4.47,18,9,6,0,0,0,58.1,50,33,29,10,25,0,52,4,0,2,252,94,5.07,1.286,7.7,1.5,3.9,8,2.08,
261,Yoendrys Gómez,25,NYY,AL,0.2,1,1,0.5,2.7,6,0,3,0,0,0,10,5,4,3,1,9,0,5,0,0,0,44,157,6.14,1.4,4.5,0.9,8.1,4.5,0.56,
261,Yoendrys Gómez,25,LAD,NL,-0.2,0,0,,14.54,3,0,2,0,0,1,4.1,10,7,7,2,2,0,6,0,0,0,25,31,7.75,2.769,20.8,4.2,4.2,12.5,3,
